Date,Tweet,YYYY,sentiment
2017-12-27 00:32:57+00:00,@neilsiegel @Tesla Coming very soon,2017,pos
2017-12-26 18:57:03+00:00,@Jason @Tesla Sure,2017,pos
2017-12-26 17:46:29+00:00,"Wanted again to send a note of deep gratitude to Tesla owners WW for taking a chance on a new company that all experts said would fail. 

So much blood, sweat &amp; tears from the Tesla team went into creating cars that you’d truly love. I hope you do.

How can we improve further?",2017,pos
2017-12-23 23:57:50+00:00,"When you get the new Tesla software update, go Ho Ho Ho. There’s an Easter egg inside the Easter egg, but it’s not funny.",2017,pos
2017-12-21 15:34:15+00:00,Glad to see that Tesla owners are having a good experience. Working to improve further. Some cool software updates coming soon. https://t.co/16NabnHeuD,2017,pos
2017-12-02 02:22:01+00:00,Payload will be my midnight cherry Tesla Roadster playing Space Oddity. Destination is Mars orbit. Will be in deep space for a billion years or so if it doesn’t blow up on ascent.,2017,neu
2017-11-23 06:02:03+00:00,Congratulations to the Tesla crew and South Australian authorities who worked so hard to get this manufactured and installed in record time! https://t.co/M2zKXlIVn3,2017,neg
2017-11-17 06:41:45+00:00,Tesla Semi https://t.co/7VLz7F46Ji,2017,neu
2017-11-15 06:19:57+00:00,@rjcc @Tesla Do you really believe that someone’s life should be ruined if they make a single offensive comment for which they then sincerely apologize?,2017,pos
2017-11-15 06:03:32+00:00,"@rjcc @Tesla That is a *counterpoint* to illustrate absurdity, meaning that obviously a single careless statement should *not* ruins someone’s life",2017,neg
2017-11-12 21:30:33+00:00,Tesla Semi Truck unveil to be webcast live on Thursday at 8pm! This will blow your mind clear out of your skull and into an alternate dimension. Just need to find my portal gun ...,2017,pos
2017-10-26 21:10:00+00:00,"Btw, just want to express a word of appreciation for the hard work of the Tesla Gigafactory team. Reason I camped on the roof was because it was less time than driving to a hotel room in Reno. Production hell, ~8th circle …",2017,neg
2017-10-12 16:40:22+00:00,"@Barnacules To be more inclusive, how about a ""pick your tech level"" setting. Could make the Tesla sound like horses (coconuts!), chariots, steam engines, gasoline cars, ...",2017,pos
2017-10-06 20:57:43+00:00,@teslamodel3fan @FredericLambert @MacTechGenius @blundell_apps Answers: Yes. No. Doesn't matter.,2017,neu
2017-10-06 20:10:05+00:00,Tesla Semi unveil now Nov 16. Diverting resources to fix Model 3 bottlenecks &amp; increase battery production for Puerto Rico &amp; other affected areas.,2017,neg
2017-10-06 18:57:09+00:00,@MacTechGenius @Jon4Lakers @solarcity @Tesla Not good. Sounds like some 3rd party installers are taking advantage of Powerwall demand &gt;&gt; supply. Taking action …,2017,neg
2017-10-06 16:15:51+00:00,@ismailnathij @stapf @Tesla The internal Tesla Powerwall install team in PR is very small right now. Sending experienced installers from continental US to hire &amp; train local team as fast as possible.,2017,pos
2017-10-06 16:03:37+00:00,"@ismailnathij @stapf @Tesla Tesla always charges the same price for a Powerwall (only taxes &amp; shipping costs vary), so something is messed up here. I've asked my team to stop shipment to any installers charging excessive premiums.",2017,neg
2017-10-06 09:30:18+00:00,"@ricardorossello I would be happy to talk. Hopefully, Tesla can be helpful.",2017,pos
2017-09-16 02:16:49+00:00,@Bobby_Gupta Def not ok. Just sent a reminder to Tesla stores that we just want people to look forward to their next visit. That's what really matters.,2017,neg
2017-09-16 00:19:49+00:00,@JayCruicks_ATC What if we just made a mini version of the Tesla Semi?,2017,neu
2017-08-31 05:35:51+00:00,We took the SpaceX/Tesla Hyperloop pusher pod for a spin by itself a few days ago to see what it… https://t.co/4hr1yN37he,2017,neg
2017-08-27 20:31:06+00:00,"@SmileSimplify @Vita_Berlin @c12olivas Exactly. Wouldn't let anyone invest more than a token amount in early rounds of SpaceX and Tesla, as the probability of failure was &gt;90%.",2017,pos
2017-08-26 00:21:37+00:00,"@Techmeme Tesla does not really have ""TTunes"". That's a joke.",2017,neg
2017-08-20 10:23:29+00:00,"@dfchil We are going to move all info and settings to the ""cloud"" (aka server) so any Tesla you drive in the world automatically adjusts to you",2017,neu
2017-08-10 05:10:39+00:00,@LWRGI Major increases in the Supercharger and Tesla urban charger network happening over the next several months,2017,pos
2017-08-05 19:44:03+00:00,Officially verified as the first production electric car to exceed 1000km on a single charge! Congratulations Tesla Owners Italia!! https://t.co/r8fFZIFEP2,2017,pos
2017-07-29 01:48:32+00:00,"@TeslaOwnerClub Watched them personally to make sure &amp; I agree with the outcome. Wouldn't have judged differently. Amazing videos all, but @MKBHD was best.",2017,pos
2017-07-27 20:52:08+00:00,@mathetes76 Tesla team will verify,2017,neu
2017-07-26 03:18:16+00:00,Love this Tesla P100D drag racing video https://t.co/rxTTFOn8mp,2017,pos
2017-07-22 17:31:17+00:00,@VoltzCoreAudio @andygen21 @Teslarati A 9m diameter vehicle fits in our existing factories ...,2017,neu
2017-07-22 00:25:13+00:00,"@andygen21 @Teslarati Yes, I postponed publishing in order to present the updated interplanetary rocket &amp; spaceship design in Adelaide. Will be on the final day.",2017,neu
